id,字符串key,名字,0不允许覆盖1覆盖等级，时间重置2叠加等级，时间重置3覆盖等级，时间不变4叠加等级，时间不变5覆盖等级，时间延长6叠加等级，时间延长,是否下线保存,下线是否计时,是否同步客户端,是否广播客户端(todo),是否死亡清除,持有图标(留空表示不显示图标),持有特效(留空表示不显示特效),持有特效1(留空表示不显示特效),特效类型(留空表示不显示特效),特效层级(0:身后 1:身前),替换组key(同一个组key的buff生效时，会删除原组所有buff),互斥组key(有同一个组key的buff生效时，无法再添加新的同组buff),缺省持续秒,更新时间秒（0表示不更新）,是否屏蔽时间,最大等级(0不限),固定属性个数（总属性=固定属性+buff等级*等级属性）,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,等级属性个数,等级属性槽,等级属性槽,等级属性槽,等级属性槽,等级属性槽,描述
458,tianyuandongguan2,天元洞观2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;4;8,99;80;80,9;0;4,10;0;4,,,,,,,,,,2级天元洞观：攻击4-8，防御0-4，魔防0-4，战士血量400，法师160，道士240。
459,tianyuandongguan3,天元洞观3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;6;12,99;120;120,9;1;6,10;1;6,,,,,,,,,,3级天元洞观：攻击6-12，防御1-6，魔防1-6，战士血量600，法师240，道士360。
460,tianyuandongguan4,天元洞观4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;10;20,99;200;200,9;2;8,10;2;8,,,,,,,,,,4级天元洞观：攻击10-20，防御2-8，魔防2-8，战士血量1000，法师400，道士600。
461,tianyuandongguan5,天元洞观5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;15;30,99;400;400,9;3;10,10;3;10,,,,,,,,,,5级天元洞观：攻击15-30，防御3-10，魔防3-10，战士血量2000，法师800，道士1200。
462,pojunzhanjiang1,破军斩将1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;5;5,53;2;2,105;2;2,,,,,,,,,,,1级破军斩将:攻击2-2，暴击伤害2%，增伤等级5
463,pojunzhanjiang2,破军斩将2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;10;10,53;4;4,105;4;4,,,,,,,,,,,2级破军斩将:攻击4-4，暴击伤害4%，增伤等级10
464,pojunzhanjiang3,破军斩将3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;15;15,53;6;6,105;6;6,,,,,,,,,,,3级破军斩将:攻击6-6，暴击伤害6%，增伤等级15
465,pojunzhanjiang4,破军斩将4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;20;20,53;8;8,105;8;8,,,,,,,,,,,4级破军斩将:攻击8-8，暴击伤害8%，增伤等级20
466,pojunzhanjiang5,破军斩将5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;30;30,53;10;10,105;10;10,,,,,,,,,,,5级破军斩将:攻击10-10，暴击伤害10%，增伤等级30
467,addExpBuff1,畅饮泡点,5,1,0,1,0,0,34057,,,,,,,7200,6,,0,,,,,,,,,,,,,您当前处于泡点状态，每6秒可获得一次经验！,,
468,kfjsbuff0,跨服均衡BUFF,1,1,1,1,1,0,,,,,,,,7200,,,,6,105;10;10,100;250;250,101;100;100,102;150;150,9;3;5,10;3;5,,,,,,,,
469,kfjsbuff1,跨服均衡BUFF,1,1,1,1,1,0,,,,,,,,7200,,,,6,105;5;5,100;125;125,101;50;50,102;75;75,9;1;2,10;1;2,,,,,,,,
470,kfjsbuff2,跨服均衡BUFF,1,1,1,1,1,0,,,,,,,,7200,,,,6,105;15;15,100;375;375,101;150;150,102;225;225,9;4;7,10;4;7,,,,,,,,
471,kfjsbuff3,跨服均衡BUFF,1,1,1,1,1,0,,,,,,,,7200,,,,6,105;50;50,100;1250;1250,101;500;500,102;750;750,9;10;20,10;10;20,,,,,,,,
472,zengshangjiacheng2,城邦双倍伤害符,1,0,0,1,0,1,34047,,,,,zengshangjiacheng2,,300,,0,0,1,144;100;100,,,,,,,,,,,,,城邦双倍伤害符：激活可获得5分钟双倍伤害时间，小退或地图跳转BUFF消失。
